sample	cluster	condition	control
GSM1022690	4	Esophagus_Control_cluster_4	TRUE
GSM1022691	4	Esophagus_Control_cluster_4	TRUE
GSM1022692	1	Esophagus_Control_cluster_1	TRUE
GSM1022693	1	Esophagus_Control_cluster_1	TRUE
GSM1022694	4	Esophagus_Control_cluster_4	TRUE
GSM1022695	1	Esophagus_Control_cluster_1	TRUE
GSM1415906	1	Esophagus_Control_cluster_1	TRUE
GSM1415907	1	Esophagus_Control_cluster_1	TRUE
GSM1415908	1	Esophagus_Control_cluster_1	TRUE
GSM1415909	1	Esophagus_Control_cluster_1	TRUE
GSM1415910	1	Esophagus_Control_cluster_1	TRUE
GSM1415911	1	Esophagus_Control_cluster_1	TRUE
GSM3103956	2	Esophagus_Control_cluster_2	TRUE
GSM3103957	2	Esophagus_Control_cluster_2	TRUE
GSM3103958	2	Esophagus_Control_cluster_2	TRUE
GSM3103959	5	Esophagus_Control_cluster_5	TRUE
GSM3103960	5	Esophagus_Control_cluster_5	TRUE
GSM3103961	5	Esophagus_Control_cluster_5	TRUE
GSM3103962	5	Esophagus_Control_cluster_5	TRUE
GSM3103963	2	Esophagus_Control_cluster_2	TRUE
GSM3103964	2	Esophagus_Control_cluster_2	TRUE
GSM3103965	5	Esophagus_Control_cluster_5	TRUE
GSM4735796	2	Esophagus_Control_cluster_2	TRUE
GSM1022678	1	Esophagus_EoE_cluster_1	FALSE
GSM1022679	3	Esophagus_EoE_cluster_3	FALSE
GSM1022680	1	Esophagus_EoE_cluster_1	FALSE
GSM1022681	1	Esophagus_EoE_cluster_1	FALSE
GSM1022682	2	Esophagus_EoE_cluster_2	FALSE
GSM1022683	1	Esophagus_EoE_cluster_1	FALSE
GSM1415912	4	Esophagus_EoE_cluster_4	FALSE
GSM1415913	4	Esophagus_EoE_cluster_4	FALSE
GSM1415914	4	Esophagus_EoE_cluster_4	FALSE
GSM1415915	4	Esophagus_EoE_cluster_4	FALSE
GSM1415916	4	Esophagus_EoE_cluster_4	FALSE
GSM1415917	4	Esophagus_EoE_cluster_4	FALSE
GSM1415918	4	Esophagus_EoE_cluster_4	FALSE
GSM1415919	4	Esophagus_EoE_cluster_4	FALSE
GSM1415920	4	Esophagus_EoE_cluster_4	FALSE
GSM1415921	4	Esophagus_EoE_cluster_4	FALSE
GSM3103946	5	Esophagus_EoE_cluster_5	FALSE
GSM3103947	5	Esophagus_EoE_cluster_5	FALSE
GSM3103948	5	Esophagus_EoE_cluster_5	FALSE
GSM3103949	1	Esophagus_EoE_cluster_1	FALSE
GSM3103950	5	Esophagus_EoE_cluster_5	FALSE
GSM3103951	5	Esophagus_EoE_cluster_5	FALSE
GSM3103952	5	Esophagus_EoE_cluster_5	FALSE
GSM3103953	5	Esophagus_EoE_cluster_5	FALSE
GSM3103954	5	Esophagus_EoE_cluster_5	FALSE
GSM3103955	5	Esophagus_EoE_cluster_5	FALSE
GSM4735803	1	Esophagus_EoE_cluster_1	FALSE
GSM4735804	1	Esophagus_EoE_cluster_1	FALSE
GSM4735795	1	Esophagus_EoE_cluster_1	FALSE
GSM4735797	4	Esophagus_EoE_cluster_4	FALSE
GSM4735802	1	Esophagus_EoE_cluster_1	FALSE
